,strain,image_name,patch_index,patch_centroid_x_nm,patch_centroid_y_nm,patch_area_nm2,patch_circularity
119,WT,MG1_C1_save-2025.10.02-12.14.40.128,29,246.04595527447074,238.26058201058186,480.65185546875,0.7557567593069574
120,WT,MG1_C1_save-2025.10.02-12.14.40.128,30,312.0169690860212,410.1562499999997,473.0224609375,0.7630702886080757
121,WT,MG1_C1_save-2025.10.02-12.14.40.128,31,164.7074760610765,228.70972437888182,460.62469482421875,0.7814392633276617
122,WT,MG1_C1_save-2025.10.02-12.14.40.128,32,101.35472074468079,316.83529593598337,425.81558227538994,0.7713028995472948
123,WT,MG1_C1_save-2025.10.02-12.14.40.128,33,78.99086349607177,347.0731621773285,424.86190795898415,0.7322926279605084
124,WT,MG1_C1_save-2025.10.02-12.14.40.128,34,301.1429398148146,439.05526620370347,420.57037353515625,0.7426243691807717
125,WT,MG1_C1_save-2025.10.02-12.14.40.128,35,191.30442831753538,474.9842639218006,402.45056152343653,0.7329365488290764
126,WT,MG1_C1_save-2025.10.02-12.14.40.128,36,260.09114583333314,132.9520089285713,400.54321289062466,0.7514043650153539
127,WT,MG1_C1_save-2025.10.02-12.14.40.128,37,187.93015252976178,45.06138392857139,400.54321289062386,0.7349108434454531
128,WT,MG1_C1_save-2025.10.02-12.14.40.128,38,346.5283488669588,369.84020924707573,326.1566162109367,0.6867621389554504
129,WT,MG1_C2_save-2025.10.02-12.22.29.107,0,252.3824783264585,382.99446260802614,3641.605377197252,0.9074100962913753
130,WT,MG1_C2_save-2025.10.02-12.22.29.107,1,156.3348048327135,396.68752904275044,3206.729888916005,0.5421038515622194
131,WT,MG1_C2_save-2025.10.02-12.22.29.107,2,382.5871695872856,384.5491176184556,3166.6755676269377,0.5890624735840623
132,WT,MG1_C2_save-2025.10.02-12.22.29.107,3,261.6867523317109,162.964652608813,2939.7010803222543,0.860699636250463
133,WT,MG1_C2_save-2025.10.02-12.22.29.107,4,196.61079758735985,244.70187517062485,2911.09085083007,0.8200176994272006
134,WT,MG1_C2_save-2025.10.02-12.22.29.107,5,234.74925149700573,56.19503181137718,2388.954162597653,0.7630091333833291
135,WT,MG1_C2_save-2025.10.02-12.22.29.107,6,441.47088671907176,124.7726431614672,1925.945281982419,0.708074028580743
136,WT,MG1_C2_save-2025.10.02-12.22.29.107,7,298.25265066964243,281.25307740283574,1815.795898437494,0.6773369896978544
137,WT,MG1_C2_save-2025.10.02-12.22.29.107,8,378.51110606671983,52.02614605752843,1772.40371704101,0.7617956627964307
138,WT,MG1_C2_save-2025.10.02-12.22.29.107,9,423.2232983653982,342.7835155443752,1078.128814697264,0.6458479064859026
139,WT,MG1_C2_save-2025.10.02-12.22.29.107,10,403.2892461964033,146.73425613762083,1034.2597961425731,0.7952013984520759
140,WT,MG1_C2_save-2025.10.02-12.22.29.107,11,44.281393247531675,447.348573891239,1014.2326354980456,0.8234789965918637
141,WT,MG1_C2_save-2025.10.02-12.22.29.107,12,61.76789978590243,380.41741291995993,965.118408203122,0.8316009298818381
142,WT,MG1_C2_save-2025.10.02-12.22.29.107,13,152.73281093593573,316.8958346367196,952.720642089841,0.8677558013733127
143,WT,MG1_C2_save-2025.10.02-12.22.29.107,14,345.02987751600085,269.56908213323186,943.6607360839805,0.8761794244458416
144,WT,MG1_C2_save-2025.10.02-12.22.29.107,15,317.0519523418986,132.81997505467453,872.1351623535128,0.8526510645876401
145,WT,MG1_C2_save-2025.10.02-12.22.29.107,16,90.56650386870422,164.76873378027656,826.8356323242158,0.849759882345457
146,WT,MG1_C2_save-2025.10.02-12.22.29.107,17,142.5425739144802,264.2387062741506,781.5361022949185,0.890199976738783
147,WT,MG1_C2_save-2025.10.02-12.22.29.107,18,90.56950798697258,92.77747622001641,768.6614990234356,0.822291860684373
148,WT,MG1_C2_save-2025.10.02-12.22.29.107,19,34.94937098573912,367.64186840028253,730.0376892089824,0.8489621775320586
149,WT,MG1_C2_save-2025.10.02-12.22.29.107,20,325.30396431352864,364.74153037383127,714.3020629882786,0.8177756121050879
150,WT,MG1_C2_save-2025.10.02-12.22.29.107,21,468.7694678662488,283.0505512575332,685.6918334960923,0.832585341144688
151,WT,MG1_C2_save-2025.10.02-12.22.29.107,22,142.13171097211344,197.97494991204036,609.8747253417952,0.8139256281777161
152,WT,MG1_C2_save-2025.10.02-12.22.29.107,23,83.16881016847161,431.70878459687066,528.3355712890617,0.7580459828002446
153,WT,MG1_C2_save-2025.10.02-12.22.29.107,24,124.62218430354974,331.37021942689483,528.3355712890616,0.7823478244970655
154,WT,MG1_C2_save-2025.10.02-12.22.29.107,25,81.3975437623273,42.74659968770539,483.5128784179676,0.7394835066555796
155,WT,MG1_C2_save-2025.10.02-12.22.29.107,26,229.13680237003024,222.89217794342474,467.7772521972656,0.7289983592944428
156,WT,MG1_C2_save-2025.10.02-12.22.29.107,27,305.9497236394553,236.74000850340101,467.30041503906165,0.7691843579814287
157,WT,MG1_C2_save-2025.10.02-12.22.29.107,28,256.02195907818674,213.7998262007942,440.1206970214839,0.7531018275366116
158,WT,MG1_C2_save-2025.10.02-12.22.29.107,29,311.61428052325533,38.75968992248057,430.58395385742017,0.7409599410849432
159,WT,MG1_C2_save-2025.10.02-12.22.29.107,30,59.59740830482699,232.78414219878343,418.1861877441401,0.7500601741830528
160,WT,MG1_C2_save-2025.10.02-12.22.29.107,31,42.31770833333328,327.5076329022984,414.8483276367181,0.7444245796364528
161,WT,MG1_C2_save-2025.10.02-12.22.29.107,32,170.3225160256408,40.10583600427345,409.12628173828,0.7478048007784446
162,WT,MG1_C2_save-2025.10.02-12.22.29.107,33,194.0758250584109,401.14662431853526,408.1726074218718,0.7301105528125293
163,WT,MG1_C2_save-2025.10.02-12.22.29.107,34,409.52136894207985,52.61663342198575,403.4042358398433,0.7699836172829699
164,WT,MG1_C2_save-2025.10.02-12.22.29.107,35,298.6997946714739,164.16696401742766,396.7285156249992,0.7230781249366418
165,WT,MG1_C2_save-2025.10.02-12.22.29.107,36,366.0279547396457,233.8158423803777,395.2980041503906,0.7626683604991621
166,WT,MG1_C2_save-2025.10.02-12.22.29.107,37,178.0598958333331,466.36284722222166,391.9601440429677,0.7476686925164141
167,WT,MG1_C2_save-2025.10.02-12.22.29.107,38,83.2215382996632,295.7422532617842,377.6550292968748,0.7308580432313335
168,WT,MG1_C2_save-2025.10.02-12.22.29.107,39,232.2931709991439,428.1409626390665,371.4561462402344,0.7122293492617972
169,WT,MG1_C2_save-2025.10.02-12.22.29.107,40,228.21104920688086,465.9215468610361,355.72052001953125,0.7258021365254967
170,WT,MG1_C2_save-2025.10.02-12.22.29.107,41,172.45987167462457,184.31673487949035,349.5216369628888,0.7201606602292471
171,WT,MG1_C3_save-2025.10.02-12.49.44.440,0,310.2933708600136,261.33154091785326,11541.843414306542,0.46273534799517146
172,WT,MG1_C3_save-2025.10.02-12.49.44.440,1,52.65108637807067,154.02424448631982,4554.74853515621,0.8297869675452773
